step_idx	obs	direct_joint_command
10	[-0.04480566084384918, -0.486780047416687, -0.008375534787774086, 0.6172508597373962, -0.012436749413609505, 1.0685709714889526, -0.3288778066635132, 0.05000000074505806, -0.031161079183220863, 0.10631465166807175, 0.004361067898571491, -0.27406880259513855, 0.0022650486789643764, -0.35867178440093994, -0.408757746219635, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.05008977651596069, -0.4687935709953308, -0.007260674610733986, 0.5727053880691528, -0.012471476569771767, 1.008880615234375, -0.3999820351600647, 790.0]
11	[-0.04847762733697891, -0.47764328122138977, -0.008214467205107212, 0.5957444310188293, -0.012781894765794277, 1.038903832435608, -0.36600780487060547, 0.05000000074505806, 0.0010822120821103454, 0.027655011042952538, 0.004673328250646591, 0.031113823875784874, 0.0017806596588343382, -0.034170348197221756, -0.034170348197221756, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.056290388107299805, -0.46106892824172974, -0.00906465295702219, 0.5485832095146179, -0.014471231959760189, 0.98305743932724, -0.4286394715309143, 790.0]
12	[-0.04998668283224106, -0.47174128890037537, -0.007767695002257824, 0.58355313539505, -0.012781894765794277, 1.0210866928100586, -0.386323481798172, 0.04899999871850014, -0.05183041840791702, 0.07438478618860245, -0.011782187968492508, -0.2724778354167938, -0.01430331077426672, -0.3032090961933136, -0.3465041518211365, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0539097785949707, -0.4558742046356201, -0.007659676484763622, 0.5385144352912903, -0.01035024132579565, 0.9682472944259644, -0.4394432306289673, 790.0]
13	[-0.053252141922712326, -0.4653656780719757, -0.008082161657512188, 0.5613046884536743, -0.013431919738650322, 0.9964911937713623, -0.41406744718551636, 0.05000000074505806, 0.013657797127962112, 0.039668332785367966, 0.007089540362358093, 0.03678382188081741, 0.025907916948199272, -0.00429520383477211, 0.030691534280776978, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.05957421287894249, -0.4486580491065979, -0.009650911204516888, 0.5134594440460205, -0.014254866167902946, 0.9471019506454468, -0.45739755034446716, 790.0]
14	[-0.054759278893470764, -0.45970144867897034, -0.008293083868920803, 0.5484997630119324, -0.01276080310344696, 0.9802539944648743, -0.42890486121177673, 0.05000000074505806, -0.047030411660671234, 0.08033472299575806, -0.01332750916481018, -0.35597944259643555, -0.025726713240146637, -0.2922900915145874, -0.2320278137922287, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.05779442936182022, -0.44298863410949707, -0.008768915198743343, 0.5027328729629517, -0.009275026619434357, 0.9349731206893921, -0.46405595541000366, 790.0]
15	[-0.05724816396832466, -0.45258376002311707, -0.00882614217698574, 0.5251295566558838, -0.012854758650064468, 0.9580304622650146, -0.4476558566093445, 0.04899999871850014, 0.013901278376579285, 0.04555625468492508, 0.004867306910455227, -0.007863225415349007, 0.039445389062166214, -0.024404078722000122, 0.0371168814599514, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.061436090618371964, -0.43619295954704285, -0.010258277878165245, 0.4795165956020355, -0.013358283787965775, 0.9142103791236877, -0.47586798667907715, 790.0]
16	[-0.058442749083042145, -0.44647085666656494, -0.009075413458049297, 0.5109843611717224, -0.011844249442219734, 0.9434499740600586, -0.45779162645339966, 0.04899999871850014, -0.02721639722585678, 0.06507057696580887, -0.010077380575239658, -0.2513132095336914, -0.030306782573461533, -0.20703965425491333, -0.11816579103469849, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.06021331995725632, -0.4314625561237335, -0.009781929664313793, 0.4680698812007904, -0.009244339540600777, 0.9028319716453552, -0.4812631905078888, 790.0]
17	[-0.05983675643801689, -0.43999555706977844, -0.009570122696459293, 0.49075114727020264, -0.011704273521900177, 0.9246759414672852, -0.46954578161239624, 0.05000000074505806, 0.006150322966277599, 0.03908976539969444, 0.0016514803282916546, -0.010112185962498188, 0.029712457209825516, -0.0093757389113307, -0.04374556615948677, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.06080354377627373, -0.4262658357620239, -0.01036046538501978, 0.4496137201786041, -0.010458044707775116, 0.8848023414611816, -0.48963332176208496, 790.0]
18	[-0.060517460107803345, -0.4346573054790497, -0.009838568978011608, 0.4767516553401947, -0.011309273540973663, 0.9111846089363098, -0.4774879515171051, 0.05000000074505806, -0.0029543060809373856, 0.05921337381005287, -0.004174475092440844, -0.2603648602962494, -0.004193952307105064, -0.253258615732193, -0.09832590073347092, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.06067030876874924, -0.42132049798965454, -0.01028172206133604, 0.43768635392189026, -0.008195504546165466, 0.8752164244651794, -0.49177807569503784, 790.0]
19	[-0.06061524897813797, -0.42888569831848145, -0.010095510631799698, 0.45795080065727234, -0.010490511544048786, 0.8929628133773804, -0.48544931411743164, 0.04899999871850014, 0.000656021642498672, 0.06311897933483124, 0.00017849300638772547, -0.06478163599967957, 0.017684923484921455, -0.06463361531496048, 0.06683745235204697, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.06178511679172516, -0.41603583097457886, -0.010606762021780014, 0.42024198174476624, -0.010179710574448109, 0.8589141964912415, -0.4966926574707031, 790.0]
