step_idx	obs	direct_joint_command
40	[-0.02572869323194027, -0.38235047459602356, 0.004766845144331455, 0.29115721583366394, 0.021021289750933647, 0.7294826507568359, -0.5393879413604736, 0.04899999871850014, 0.056353531777858734, 0.011673126369714737, 0.018827643245458603, -0.061314377933740616, 0.02858344279229641, -0.06739933043718338, -0.028008032590150833, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.021144939586520195, -0.3807647228240967, 0.006748833693563938, 0.28621646761894226, 0.023853739723563194, 0.7243211269378662, -0.5420798063278198, 790.0]
41	[-0.023228304460644722, -0.381573885679245, 0.005907743703573942, 0.28842291235923767, 0.022595537826418877, 0.7265220880508423, -0.540906548500061, 0.05000000074505806, 0.037155941128730774, 0.014753778465092182, 0.014537268318235874, -0.039038848131895065, 0.02400871179997921, -0.03826775401830673, -0.021104831248521805, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.018973233178257942, -0.3804014325141907, 0.007800228428095579, 0.28401654958724976, 0.025045787915587425, 0.7217512726783752, -0.5432851314544678, 790.0]
42	[-0.021295487880706787, -0.3808183968067169, 0.006701578386127949, 0.28639230132102966, 0.023759445175528526, 0.7244895100593567, -0.5419842004776001, 0.04899999871850014, 0.0488264374434948, 0.005705044139176607, 0.019198065623641014, -0.04957720264792442, 0.022411491721868515, -0.05908084660768509, -0.022723941132426262, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.017256997525691986, -0.3797667622566223, 0.008516942150890827, 0.2828052043914795, 0.025926215574145317, 0.7202625870704651, -0.5443078279495239, 790.0]
43	[-0.019201604649424553, -0.3804214894771576, 0.007694831117987633, 0.2842159569263458, 0.024934858083724976, 0.7220274806022644, -0.5431481003761292, 0.04899999871850014, 0.0330423042178154, 0.012983259744942188, 0.015024161897599697, -0.026146335527300835, 0.0191057026386261, -0.03051755577325821, -0.022392023354768753, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.015316946431994438, -0.3796531558036804, 0.009488498792052269, 0.2811647057533264, 0.026912756264209747, 0.7180839776992798, -0.5456881523132324, 790.0]
44	[-0.017349323257803917, -0.37983474135398865, 0.008500170893967152, 0.28287947177886963, 0.025880172848701477, 0.7203075289726257, -0.5442909002304077, 0.04899999871850014, 0.04386548697948456, 0.0017629974754527211, 0.01911594718694687, -0.03678588941693306, 0.019482234492897987, -0.04894036054611206, -0.029906103387475014, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.013686900958418846, -0.37916916608810425, 0.010134470649063587, 0.2803794741630554, 0.027649737894535065, 0.7167955636978149, -0.5464426279067993, 790.0]
45	[-0.01553347334265709, -0.3796564042568207, 0.009395631961524487, 0.28139728307724, 0.026790974661707878, 0.7183325290679932, -0.5455564260482788, 0.04899999871850014, 0.0271577388048172, 0.00968493428081274, 0.013532682321965694, -0.016701089218258858, 0.015638839453458786, -0.02471107803285122, -0.01602932997047901, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.012218933552503586, -0.37910664081573486, 0.010910983197391033, 0.2791552245616913, 0.02826378308236599, 0.7151322960853577, -0.5474346876144409, 790.0]
46	[-0.013763642869889736, -0.37923455238342285, 0.01009359396994114, 0.2804481089115143, 0.027584809809923172, 0.7168445587158203, -0.5464020371437073, 0.05000000074505806, 0.02753818966448307, 0.0010464962106198072, 0.01654372364282608, -0.024744568392634392, 0.012673522345721722, -0.028880733996629715, -0.021014899015426636, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.010741553269326687, -0.37876948714256287, 0.011471310630440712, 0.2784416973590851, 0.02889147773385048, 0.7139923572540283, -0.5478020310401917, 790.0]
47	[-0.012312113307416439, -0.37911951541900635, 0.010831821709871292, 0.27924585342407227, 0.028217576444149017, 0.7152588367462158, -0.5473300814628601, 0.05000000074505806, 0.023119475692510605, 0.006710034795105457, 0.01195165328681469, -0.015267542563378811, 0.013477223925292492, -0.021309539675712585, -0.00739589799195528, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.00966606941074133, -0.3785915970802307, 0.01201404258608818, 0.27736687660217285, 0.029309138655662537, 0.712810218334198, -0.5483224391937256, 790.0]
48	[-0.010791555047035217, -0.37880122661590576, 0.011458836495876312, 0.2783829867839813, 0.02885226160287857, 0.7139971256256104, -0.5478075742721558, 0.05000000074505806, 0.01038378570228815, 0.0036344437394291162, 0.009194518439471722, -0.01038378570228815, 0.007966349832713604, -0.01038378570228815, -0.009019915945827961, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.008377030491828918, -0.3785334825515747, 0.012648344039916992, 0.27688121795654297, 0.029753759503364563, 0.7116506695747375, -0.5489972829818726, 790.0]
49	[-0.009671748615801334, -0.3786228895187378, 0.0120206568390131, 0.27742043137550354, 0.029283693060278893, 0.7128197550773621, -0.5483387112617493, 0.05000000074505806, 0.013827857561409473, 0.0010670397896319628, 0.01168072409927845, -0.009774652309715748, 0.00909793097525835, -0.013821812346577644, -0.01206977479159832, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.007381022907793522, -0.37838277220726013, 0.01309400238096714, 0.27622222900390625, 0.030126167461276054, 0.7107221484184265, -0.5494813323020935, 790.0]
50	[-0.008448399603366852, -0.3785576820373535, 0.012620827183127403, 0.2769027054309845, 0.02970745600759983, 0.7116999626159668, -0.548961877822876, 0.05000000074505806, 0.0053009833209216595, 0.0029938609804958105, 0.005179388914257288, -0.0053009833209216595, 0.0049853879027068615, -0.0053009833209216595, -0.0052367146126925945, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.006469033658504486, -0.37836894392967224, 0.013587122783064842, 0.2758043706417084, 0.030388260260224342, 0.7098302841186523, -0.5499199032783508, 790.0]
51	[-0.0073650251142680645, -0.37840238213539124, 0.013105948455631733, 0.27624309062957764, 0.03009670227766037, 0.7106856107711792, -0.5494834184646606, 0.05000000074505806, 0.0038478353526443243, 0.00027503911405801773, 0.0038475696928799152, -0.003830303903669119, 0.0035205550957471132, -0.0038478353526443243, -0.0038391491398215294, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0055938283912837505, -0.3782723546028137, 0.013982092030346394, 0.27536118030548096, 0.030660822987556458, 0.7090140581130981, -0.5503299832344055, 790.0]
52	[-0.006484903860837221, -0.3783678710460663, 0.013569977134466171, 0.2758174240589142, 0.030363231897354126, 0.7098227739334106, -0.5499052405357361, 0.05000000074505806, 0.003191491588950157, 0.0018264985410496593, 0.0031870207749307156, -0.0031914475839585066, 0.0030596270225942135, -0.003191491588950157, -0.003189587267115712, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.004875503946095705, -0.3781927227973938, 0.014336418360471725, 0.2750171422958374, 0.0308905690908432, 0.7083748579025269, -0.5506402850151062, 790.0]
53	[-0.005570267792791128, -0.3782739043235779, 0.013995657674968243, 0.2753591239452362, 0.0306451003998518, 0.7089809775352478, -0.5503309369087219, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.004164946731179953, -0.37819820642471313, 0.014679784886538982, 0.27472853660583496, 0.031057579442858696, 0.707675576210022, -0.550970733165741, 790.0]
54	[-0.004870389122515917, -0.37820103764533997, 0.014344638213515282, 0.2750139832496643, 0.03087328001856804, 0.7083597183227539, -0.5506473183631897, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0035931807942688465, -0.37810081243515015, 0.014950079843401909, 0.2744670510292053, 0.03124525025486946, 0.7072107791900635, -0.5512102842330933, 790.0]
55	[-0.004183932673186064, -0.3781895339488983, 0.01466677337884903, 0.2747359573841095, 0.031038183718919754, 0.7076943516731262, -0.5509598851203918, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0030374969355762005, -0.3780473470687866, 0.015191338956356049, 0.27425676584243774, 0.0313912071287632, 0.7067132592201233, -0.551435112953186, 790.0]
56	[-0.0036010199692100286, -0.3781166672706604, 0.014937138184905052, 0.27447327971458435, 0.031220344826579094, 0.7072016000747681, -0.5512014627456665, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0025662684347480536, -0.37795746326446533, 0.015401540324091911, 0.27405846118927, 0.03154020756483078, 0.7063455581665039, -0.5516186952590942, 790.0]
57	[-0.0030449519399553537, -0.37805530428886414, 0.015184491872787476, 0.2742565870285034, 0.031369905918836594, 0.7067241072654724, -0.5514239072799683, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0021206478122621775, -0.37787678837776184, 0.015590980648994446, 0.2738952040672302, 0.03166582062840462, 0.7059894800186157, -0.5517830848693848, 790.0]
58	[-0.0025617480278015137, -0.37796902656555176, 0.015399249270558357, 0.27405908703804016, 0.03152138739824295, 0.7063406109809875, -0.5516118407249451, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.001733623445034027, -0.37778276205062866, 0.015758858993649483, 0.2737466096878052, 0.031787678599357605, 0.7057037949562073, -0.5519242882728577, 790.0]
59	[-0.0021073061507195234, -0.37788084149360657, 0.015581409446895123, 0.27389228343963623, 0.031653694808483124, 0.705987811088562, -0.5517786145210266, 0.04899999871850014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.0013443443458527327, -0.37765657901763916, 0.01596079394221306, 0.27377909421920776, 0.03187943994998932, 0.7054320573806763, -0.5523651838302612, 790.0]
60	[-0.0017218934372067451, -0.37778496742248535, 0.015753982588648796, 0.27375611662864685, 0.03177065774798393, 0.7057040333747864, -0.551960825920105, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.001065981574356556, -0.3775912821292877, 0.01603527180850506, 0.2735181748867035, 0.03198603168129921, 0.7052295207977295, -0.5521665215492249, 790.0]
61	[-0.001346068107523024, -0.3776718080043793, 0.015939977020025253, 0.27373310923576355, 0.03186653181910515, 0.7054336667060852, -0.5523078441619873, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.000766532146371901, -0.3774682283401489, 0.016167525202035904, 0.27349966764450073, 0.03205489739775658, 0.7050278186798096, -0.552332878112793, 790.0]
62	[-0.001056529232300818, -0.37759703397750854, 0.016030099242925644, 0.2735337018966675, 0.03197582811117172, 0.7052189111709595, -0.5522983074188232, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.000537536689080298, -0.37740418314933777, 0.01625021919608116, 0.27334925532341003, 0.03214385360479355, 0.7048669457435608, -0.5523762702941895, 790.0]
63	[-0.0007574030314572155, -0.37748008966445923, 0.01616048812866211, 0.2734857499599457, 0.03204677626490593, 0.705019474029541, -0.5522944331169128, 0.04899999871850014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.00028267438756302, -0.37726861238479614, 0.01641000807285309, 0.27347391843795776, 0.03218897804617882, 0.7047111988067627, -0.5527148842811584, 790.0]
64	[-0.0005330583080649376, -0.3774091303348541, 0.016248691827058792, 0.2733534574508667, 0.03213497996330261, 0.7048622369766235, -0.5523098111152649, 0.04899999871850014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[-0.00010505225509405136, -0.37720704078674316, 0.016485754400491714, 0.27337446808815, 0.032258741557598114, 0.7045937776565552, -0.5527553558349609, 790.0]
65	[-0.00028762139845639467, -0.3772844970226288, 0.016394419595599174, 0.2733515501022339, 0.03217332810163498, 0.7047088742256165, -0.5526722073554993, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[6.328604649752378e-05, -0.3771136403083801, 0.01652549020946026, 0.27320918440818787, 0.032295793294906616, 0.7044845819473267, -0.552591860294342, 790.0]
66	[-0.0001054611784638837, -0.3772135376930237, 0.016476871445775032, 0.2733515501022339, 0.032248109579086304, 0.7045822739601135, -0.5527450442314148, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.00020511627371888608, -0.37704581022262573, 0.016588473692536354, 0.2732126712799072, 0.03235076367855072, 0.7043923139572144, -0.5526341199874878, 790.0]
67	[6.135923467809334e-05, -0.37711384892463684, 0.016520973294973373, 0.2733055353164673, 0.032292213290929794, 0.7044711112976074, -0.5527258515357971, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.00032917779753915966, -0.37696391344070435, 0.016627367585897446, 0.27317875623703003, 0.0323873795568943, 0.704308807849884, -0.5526354908943176, 790.0]
68	[0.0002070874033961445, -0.3770543932914734, 0.016576580703258514, 0.2732173204421997, 0.032338231801986694, 0.704380989074707, -0.5526511073112488, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.00043982118950225413, -0.376918226480484, 0.016676880419254303, 0.2731132507324219, 0.03242751955986023, 0.7042419910430908, -0.5526256561279297, 790.0]
69	[0.0003278883814346045, -0.376964271068573, 0.016620682552456856, 0.27317512035369873, 0.03238041698932648, 0.7043023705482483, -0.5526338219642639, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0005304473452270031, -0.37684574723243713, 0.01671505905687809, 0.27308183908462524, 0.032461002469062805, 0.7041823863983154, -0.55262690782547, 790.0]
70	[0.0004448544350452721, -0.37692591547966003, 0.016670536249876022, 0.2731176018714905, 0.03242452070116997, 0.7042352557182312, -0.5526261925697327, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0006216641631908715, -0.3768130838871002, 0.016757119446992874, 0.273039311170578, 0.03249584510922432, 0.7041332125663757, -0.5526403784751892, 790.0]
71	[0.0005273058777675033, -0.3768549859523773, 0.01670888625085354, 0.2730811834335327, 0.0324551984667778, 0.7041796445846558, -0.5526223182678223, 0.04899999871850014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0007125571137294173, -0.3767240345478058, 0.016847943887114525, 0.27316904067993164, 0.032504454255104065, 0.7040814161300659, -0.5529635548591614, 790.0]
72	[0.0006155098089948297, -0.3768070340156555, 0.016749152913689613, 0.27304092049598694, 0.03248779475688934, 0.7041317224502563, -0.5526223182678223, 0.04899999871850014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0007806593785062432, -0.3766845762729645, 0.016881519928574562, 0.27313879132270813, 0.03252965956926346, 0.7040456533432007, -0.552973747253418, 790.0]
73	[0.0007056311587803066, -0.3767361044883728, 0.016841191798448563, 0.27304092049598694, 0.032497383654117584, 0.7040837407112122, -0.552886962890625, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0008296833257190883, -0.376645028591156, 0.016882631927728653, 0.2729749083518982, 0.03254476934671402, 0.7040145993232727, -0.5527647137641907, 790.0]
74	[0.00077657779911533, -0.3766824007034302, 0.01687762327492237, 0.27304092049598694, 0.032520391047000885, 0.7040358185768127, -0.5529655814170837, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0008854307816363871, -0.3765963912010193, 0.016908938065171242, 0.27297404408454895, 0.032559752464294434, 0.7039777040481567, -0.5527979731559753, 790.0]
75	[0.0008187622297555208, -0.37665364146232605, 0.016885293647646904, 0.27304092049598694, 0.03253765031695366, 0.7040128111839294, -0.5528830885887146, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0009134516585618258, -0.37657630443573, 0.016918210312724113, 0.2729768753051758, 0.03257555887103081, 0.7039621472358704, -0.5527660250663757, 790.0]
76	[0.0008762865327298641, -0.3766018748283386, 0.016898715868592262, 0.27304092049598694, 0.032554905861616135, 0.7039763927459717, -0.5528083443641663, 0.04899999871850014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0009804978035390377, -0.3765052556991577, 0.016990268602967262, 0.2731366455554962, 0.03257616236805916, 0.7039268016815186, -0.5530537962913513, 790.0]
77	[0.000914636068046093, -0.37656736373901367, 0.016915973275899887, 0.2730370759963989, 0.03257408365607262, 0.7039514780044556, -0.5527795553207397, 0.04899999871850014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0010082898661494255, -0.3764784038066864, 0.01700524613261223, 0.27313506603240967, 0.032591383904218674, 0.7039085626602173, -0.5530439615249634, 790.0]
78	[0.0009644904057495296, -0.37651559710502625, 0.016973497346043587, 0.2730370759963989, 0.03257983550429344, 0.7039284706115723, -0.5529502034187317, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0010234841611236334, -0.3764601945877075, 0.01698397286236286, 0.2729731798171997, 0.03260576352477074, 0.70389723777771, -0.5527951121330261, 790.0]
79	[0.0010105097899213433, -0.3764772415161133, 0.01700609363615513, 0.2730370759963989, 0.03258558735251427, 0.7039034962654114, -0.5530269145965576, 0.04899999871850014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0010882491478696465, -0.3763926327228546, 0.017064625397324562, 0.27312880754470825, 0.03259270265698433, 0.7038683891296387, -0.5531444549560547, 790.0]
80	[0.001022014650516212, -0.3764618933200836, 0.017008012160658836, 0.2730370759963989, 0.03259517252445221, 0.7038900852203369, -0.5529674887657166, 0.05000000074505806, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8399999737739563, -0.004516995511949062, -0.47795775532722473, -0.005998285952955484, 0.857609748840332, -0.03215895593166351, 1.2798911333084106, 0.0500529482960701, 0.009999999776482582]	[0.0010665020672604442, -0.37641528248786926, 0.017009658738970757, 0.27297309041023254, 0.03261736035346985, 0.7038678526878357, -0.5528026223182678, 790.0]
