elapsed_s,joint1_pos_rad,joint2_pos_rad,joint3_pos_rad,joint4_pos_rad,joint5_pos_rad,joint6_pos_rad,joint7_pos_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint7_vel_rad_s,joint1_effort,joint2_effort,joint3_effort,joint4_effort,joint5_effort,joint6_effort,joint7_effort
0.000001366,-0.070101008,-0.811420202,-0.090949722,0.223882586,0.242873266,1.030131340,-0.016227599,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.920000076,-0.134620115,-0.978213131,-0.000081912
0.005078415,-0.070101008,-0.811420202,-0.090951636,0.223882586,0.242873266,1.030129433,-0.016227599,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.920000076,-0.134620115,-0.978213131,-0.000081912
0.010145324,-0.070101008,-0.811420202,-0.090951636,0.223882586,0.242873266,1.030129433,-0.016227599,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.920000076,-0.134620115,-0.978213131,-0.000081912
0.015213550,-0.070101008,-0.811420202,-0.090953559,0.223882586,0.242873266,1.030129433,-0.016229516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.920000076,-0.134620115,-0.978213131,-0.000081912
0.020270675,-0.070101008,-0.811420202,-0.090953559,0.223882586,0.242873266,1.030129433,-0.016229516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.920000076,-0.134620115,-0.978213131,-0.000081912
0.025337678,-0.070101008,-0.811420202,-0.090955473,0.223882586,0.242873266,1.030129433,-0.016229516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.920000076,-0.134620115,-0.978213131,-0.000081912
0.030413606,-0.070101008,-0.811420202,-0.090955473,0.223882586,0.242873266,1.030129433,-0.016229516,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.920000076,-0.134620115,-0.978213131,-0.000081912
0.035490741,-0.070101008,-0.811420202,-0.090957388,0.223882586,0.242873266,1.030129433,-0.016231434,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.905675888,-0.134620115,-0.978213131,-0.000081912
0.040579849,-0.070101008,-0.811420202,-0.090959311,0.223882586,0.242873266,1.030129433,-0.016231434,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.891349792,-0.134620115,-0.978213131,-0.000081912
0.045654727,-0.070101008,-0.811420202,-0.090959311,0.223882586,0.242873266,1.030129433,-0.016231434,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.877025604,-0.134620115,-0.978213131,-0.000081912
0.050725744,-0.070101008,-0.811420202,-0.090959311,0.223882586,0.242873266,1.030129433,-0.016231434,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.862699509,-0.134620115,-0.978213131,-0.000081912
0.055805713,-0.070101008,-0.811420202,-0.090961225,0.223882586,0.242873266,1.030129433,-0.016233351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.862699509,-0.134620115,-0.978213131,-0.000081912
0.060875374,-0.070101008,-0.811420202,-0.090961225,0.223882586,0.242873266,1.030129433,-0.016233351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.848375320,-0.134620115,-0.978213131,-0.000081912
0.065941152,-0.070101008,-0.811420202,-0.090963140,0.223882586,0.242873266,1.030129433,-0.016233351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.834049225,-0.134620115,-0.978213131,-0.000081912
0.071015844,-0.070101008,-0.811420202,-0.090963140,0.223882586,0.242873266,1.030129433,-0.016233351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.819725037,-0.134620115,-0.978213131,-0.000081912
0.076095061,-0.070101008,-0.811420202,-0.090965062,0.223882586,0.242873266,1.030129433,-0.016233351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.805400848,-0.134620115,-0.978213131,-0.000081912
0.081166942,-0.070101008,-0.811420202,-0.090965062,0.223882586,0.242873266,1.030129433,-0.016233351,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.000000000,1.088269830,1.263820291,22.805400848,-0.134620115,-0.978213131,-0.000081912
